c_ine;no_municipio;id_provincia;is_capital_prov;is_capital_comaut;nu_poblacion;geo_latitude_etrs89;geo_longitude_etrs89;geo_altura;geo_superficie;geo_perimetro;geo_hoja_etrs89
23033;FRAILES;23;0;0;1565;37,48516;-3,837748;973;4033;28306;0991-1
23034;FUENSANTA DE MARTOS;23;0;0;3023;37,64735;-3,905764;719;5404;32476;0968-2
23035;FUERTE DEL REY;23;0;0;1309;37,87397;-3,884368;436;3509;35541;0925-4
23037;GÉNAVE;23;0;0;573;38,42938;-2,732941;835;6358;34197;0865-1
23038;GUARDIA DE JAÉN, LA;23;0;0;5151;37,74338;-3,69524;636;3842;27421;0947-3
23039;GUARROMÁN;23;0;0;2748;38,18148;-3,686785;349;9621;77991;0884-3
23041;HIGUERA DE CALATRAVA;23;0;0;609;37,79859;-4,15782;359;3876;30999;0946-1
23042;HINOJARES;23;0;0;335;37,7158;-2,99833;668;4003;34689;0949-4
23043;HORNOS;23;0;0;589;38,21647;-2,72012;869;11757;70568;0887-3
23044;HUELMA;23;0;0;5615;37,65066;-3,461097;1005;25028;81556;0970-1
